"Language","original","english","polish",
"hrp_drain_fuel","Drain Fuel","Drain Fuel","Spuść Paliwo",
"hrp_hot","Hot","Hot","Gorący",
"hrp_warm","Warm","Warm","Letni",
"hrp_warm_warm","Very Warm","Very Warm","Ciepły",
"hrp_cool","Cool","Cool","Chłodny",
"hrp_cold","Cold","Cold","Zimny",
"hrp_frozen","Frozen","Frozen","Zamrożony",
"hrp_chasis_fix","Tinker around","Tinker around","Pomajsterkuj",
"hrp_destroy_car_part","Dismantle","Dismantle","Rozmontuj",
"hrp_bicycle_overview","This mod adding bicycles to game.","This mod adding bicycles to game.","Ten mod dodaje rowery do gry",
"hrp_bicycle","Old Bicycle","Old Bicycle","Stary Rower",
"hrp_lady_bicycle","Lady Bicycle","Lady Bicycle","Damski Rower",
"hrp_bicycle_desc","Bicycle, ideal vehicle for survival in apocalypse.","Bicycle, ideal vehicle for survival in apocalypse.","Rower, idealny do przetrwania podczas apokalipsy.",
"hrp_bicycle_wheel","Bicycle Wheel","Bicycle Wheel","Koło do Starego Roweru",
"hrp_lady_bicycle_wheel","Lady Bicycle Wheel","Lady Bicycle Wheel","Koło do Damskiego Roweru",
"hrp_bicycle_wheel_desc","Wheel which fit to bicycle.","Wheel which fit to bicycle","Koło pasujące do Starego Roweru",
"hrp_lady_bicycle_wheel_desc","Wheel which fit to Lady bicycle.","Wheel which fit to Lady bicycle.","Koło pasujące do Damskiego Roweru",
"hrp_dismantle_weapon","Dismantle Weapon","Dismantle Weapon","Rozmontuj Broń",
"STR_category_1","DANCE","DANCE","TANIEC",
"STR_category_2","SPORT","SPORT","SPORT",
"STR_category_3","RP MOMENTS","RP MOMENTS","RP",
"STR_category_4","RACKS","RACKS","POZY NOWE",
"STR_DANCE_1","Dance 1","Dance 1","Taniec 1",
"STR_DANCE_2","Dance 2","Dance 2","Taniec 2",
"STR_DANCE_3","Dance Macaréna","Dance Macaréna","Taniec Makarena",
"STR_DANCE_4","Dance 3","Dance 3","Taniec 3",
"STR_DANCE_5","Dance 4","Dance 4","Taniec 4",
"STR_DANCE_6","Break Dance","Break Dance","Break Dance",
"STR_DANCE_7","Twerk","Twerk","Twerk",
"STR_SPORT_1","Pump","Pump","Pompki",
"STR_SPORT_2","Abs","Abs","Brzuszki",
"STR_SPORT_3","Stretch","Medical","Rozciąganie",
"STR_MOMENTS_1","Low psi attack","Low psi attack","Mały atak PSI",
"STR_MOMENTS_2","Strong psi attack","Strong psi attack","Mocny atak PSI",
"STR_MOMENTS_3","Electrical shock","Electrical shock","Szok Elektryczny",
"STR_MOMENTS_4","What am I doing","What am I doing","Co ja robie?",
"STR_MOMENTS_5","To fear","To fear","Strach",
"STR_MOMENTS_6","XD","XD","XD",
"STR_MOMENTS_7","Heart massage","Heart massage","RKO",
"STR_MOMENTS_8","Hand shake","Hand shake","Uscisk dłoni",
"STR_MOMENTS_9","Hello","Hello","Cześć",
"STR_MOMENTS_10","Hurt","Hurt","Ranny",
"STR_MOMENTS_11","Pray","Pray","Modlitwa",
"STR_RACKS_1","Wait with crossed arms","Wait with crossed arms","Zkrzyżowane ręce",
"STR_RACKS_2","Sitting leg over arm","Sitting leg over arm","Siad z ręką na kolanie",
"STR_RACKS_3","Wait arm behind your back","Wait arm behind your back","Ręce z tyłu",
"STR_RACKS_4","Crouching","Crouching","Kucanie",
"STR_RACKS_5","Sitting on a chair","Sitting on a chair","Siedzenie na krześle",
"STR_RACKS_6","Leaning on the bar","Leaning on the bar","Oparcie do barierke",
"STR_RACKS_7","Against the wall","Against the wall","Oparcie o ściane",
"STR_RACKS_8","kind DrunkIdle","kind DrunkIdle","Pijaczyna",
"STR_RACKS_9","pray Monolit","pray Monolit","Modlitwa",
"STR_RACKS_10","Inspection on the table","Inspection on the table","Sprawdzenie przy stole",
"STR_RACKS_11","Shoulder weapon","Shoulder weapon","Broń na ramieniu",
"STR_RACKS_12","Hands In Pockets","Hands In Pockets","Ręce w kieszeniach",
"STR_RACKS_13","Warm up your hands","Warm up your hands","Ogrzej ręce",
"STR_RACKS_14","Lower Rifle","Lower Rifle","Opuść broń",
"STR_RACKS_15","SitHandsForward","SitHandsForward","Siedzenie na ziemi",
"STR_RACKS_16","Lie on your side","Lie on your side","Leżenie na boku",
"STR_RACKS_17","Lie on your back","Lie on your back","Leżenie na plecach",
"STR_RACKS_18","Sit Cross-Legged","Sit Cross-Legged","Siad skrzyżny",
"STR_RACKS_19","Squatting","Squatting","Slav Squat",
"STR_category_5","WC","WC","WC",
"STR_WCNEED_1","Piss Standing","Piss Standing","Sikanie na stojąco",
